S.No,Course Name,Slot Name,Units,Type,Instructor,Instructor Email,Lecture Time,Tutorial Time,Practical Time,Vacancy,Current Strength,Course Code
1,MAJOR PROJECT,P,0.0-0.0-80.0,,EMIR BHATIA,divit70@am.iitd.ac.in,,,,60,0,AMD895
2,DESIGN PROJECT,X,0.0-0.0-20.0,,RASHA TALWAR,suhana55@am.iitd.ac.in,,,,60,25,AMD899
3,ENGG. MATHEMATICS & MECHANICS,F,3.0-0.0-0.0,,TAIMUR SAMI,shankarmiraya@am.iitd.ac.in,TThF 11:00-12:00,,,90,25,AML701
4,APPLIED FLUID DYNAMICS,J,3.0-1.0-0.0,,JIVIKA BERA,randhawaanay@am.iitd.ac.in,MTF 12:00-13:00,,,90,32,AML713
5,SOLID MECHANICS,E,3.0-0.0-0.0,,ISHITA GHOSE,cghosh@am.iitd.ac.in,TWF 10:00-11:00,,,60,22,AML732
6,DYNAMICS,H,3.0-0.0-0.0,,KASHVI SUNDARAM,myra66@am.iitd.ac.in,M 11:00-12:00,,,60,29,AML733
7,DECISION THEORY & DESIGN OPTIMIZATION,B,3.0-0.0-0.0,,TUSHAR MANI,rohan71@am.iitd.ac.in,MTh 09:30-11:00,,,40,17,AML771
8,DESIGN METHODS,J,3.0-0.0-0.0,,IVAN DALAL,wramakrishnan@am.iitd.ac.in,MTF 12:00-13:00,,,70,52,AML775
9,SHIP RESISTANCE & PROPULSION,X,3.0-0.0-0.0,,ALISHA KHURANA,hjaggi@am.iitd.ac.in,,,,60,17,AML791
10,SHIP DYNAMICS,X,3.0-0.0-0.0,,KIARA ISSAC,yakshitgola@am.iitd.ac.in,,,,60,25,AML793
11,WARSHIP DESIGN,X,3.0-0.0-0.0,,RASHA TALWAR,suhana55@am.iitd.ac.in,,,,60,17,AML794
12,ADVANCED FINITE ELEMENT METHODS,F,3.0-0.0-0.0,,ROHAN THAMAN,sahaehsaan@am.iitd.ernet.in,TThF 11:00-12:00,,,50,35,AML805
13,APPLICATIONS OF THEORY OF PLATES AND SHELLS,D,2.0-0.0-0.0,,TIYA BABU,gokul13@am.iitd.ac.in,TWF 09:00-10:00,,,50,19,AML832
14,MAJOR PROJECT PART-I,P,0.0-0.0-12.0,,INDRANS BEHL,vihaansodhi@am.iitd.ac.in,,,,100,62,APD811
15,MS Research Project,P,0.0-0.0-72.0,,PARINAAZ SUBRAMANIAM,keermyra@am.iitd.ac.in,,,,30,11,APD895
16,ENGINEERING MECHANICS,A,3.0-1.0-0.0,,DIYA KOHLI,aaryahi28@am.iitd.ac.in,MTh 08:00-09:30,MTThF 13:00-14:00,,500,39,APL100
17,Applied Mathematics for Engineers,B,3.0-0.0-0.0,,PARINAAZ SUBRAMANIAM,keermyra@am.iitd.ac.in,MTh 09:30-11:00,,,200,41,APL101
