S.No,Course Name,Slot Name,Units,Type,Instructor,Instructor Email,Lecture Time,Tutorial Time,Practical Time,Vacancy,Current Strength,Course Code
1,MAJOR PROJECT PART-I,P,0.0-0.0-12.0,,EMIR BHATIA,divit70@am.iitd.ac.in,,,,30,0,AMD811
2,MAJOR PROJECT PART-II,P,0.0-0.0-24.0,,EMIR BHATIA,divit70@am.iitd.ac.in,,,,40,40,AMD812
3,MAJOR PROJECT PART-I,P,0.0-0.0-12.0,,EMIR BHATIA,divit70@am.iitd.ac.in,,,,30,0,AMD813
4,MAJOR PROJECT PART-II,P,0.0-0.0-24.0,,EMIR BHATIA,divit70@am.iitd.ac.in,,,,30,7,AMD814
5,MINOR PROJECT,X,0.0-0.0-8.0,,BIJU GOUR,eladhingra@am.iitd.ac.in,,,,60,25,AMD897
6,APPLIED COMPUTATIONAL METHOD,F,3.0-0.0-2.0,,EMIR BHATIA,divit70@am.iitd.ac.in,TThF 11:00-12:00,,,100,29,AML702
7,FINITE ELEMENT METHODS & ITS APPL.TO MARINE STRU.,B,3.0-0.0-0.0,,TUSHAR RANGANATHAN,taimurbedi@am.iitd.ac.in,MTh 09:30-11:00,,,100,28,AML706
8,MULTISCALE MODELING OF CRYSTAL,X,3.0-0.0-2.0,,MOHANLAL HAYER,hkakar@am.iitd.ac.in,,,,50,11,AML736
9,STRUCTURAL DESIGN OF SHIPS.,E,3.0-0.0-0.0,,RASHA TALWAR,suhana55@am.iitd.ac.in,TWF 10:00-11:00,,,50,25,AML792
10,SUBMARINE DESIGN,X,3.0-0.0-0.0,,BIJU GOUR,eladhingra@am.iitd.ac.in,,,,60,25,AML795
11,THEORY OF PLATES AND SHELLS,F,3.0-0.0-0.0,,DIVIJ AGRAWAL,armaanbarad@am.iitd.ernet.in,TThF 11:00-12:00,,,50,26,AML831
12,MECHANICS OF COMPOSITE MATERIALS,D,3.0-0.0-0.0,,TIYA BABU,gokul13@am.iitd.ac.in,TWF 09:00-10:00,,,40,22,AML835
13,ADVANCES IN SOLID MECHANICS,X,3.0-0.0-0.0,,TUSHAR MANI,rohan71@am.iitd.ac.in,,,,30,8,AML840
14,PRODUCT DESIGN PROJECT 1,F,2.0-0.0-4.0,,ANAHI GHOSH,rhea45@am.iitd.ac.in,TThF 11:00-12:00,,,60,17,AMP776
