S.No,Course Name,Slot Name,Units,Type,Instructor,Instructor Email,Lecture Time,Tutorial Time,Practical Time,Vacancy,Current Strength,Course Code
1,MAJOR PROJECT PART-I,P,0.0-0.0-12.0,,INDRANS BEHL,vihaansodhi@am.iitd.ac.in,,,,30,6,AMD811
2,MAJOR PROJECT PART-II,P,0.0-0.0-24.0,,INDRANS BEHL,vihaansodhi@am.iitd.ac.in,,,,60,52,AMD812
3,MAJOR PROJECT PART-I,P,0.0-0.0-12.0,,INDRANS BEHL,vihaansodhi@am.iitd.ac.in,,,,30,2,AMD813
4,MAJOR PROJECT PART-II,P,0.0-0.0-24.0,,INDRANS BEHL,vihaansodhi@am.iitd.ac.in,,,,60,1,AMD814
5,MINOR PROJECT,X,0.0-0.0-8.0,,FATEH MANE,faiyaz38@am.iitd.ac.in,,,,60,17,AMD897
6,APPLIED COMPUTATIONAL METHOD,F,3.0-0.0-2.0,,TARINI CHOUDHRY,asaxena@am.iitd.ac.in,TThF 11:00-12:00,,,100,33,AML702
7,FINITE ELEMENT METHODS & ITS APPL.TO MARINE STRU.,B,3.0-0.0-0.0,,ROHAN THAMAN,sahaehsaan@am.iitd.ernet.in,MTh 09:30-11:00,,,100,19,AML706
8,MULTISCALE MODELING OF CRYSTAL,X,3.0-0.0-2.0,,MOHANLAL HAYER,hkakar@am.iitd.ac.in,,,,50,5,AML736
9,STRUCTURAL DESIGN OF SHIPS.,E,3.0-0.0-0.0,,ALISHA KHURANA,hjaggi@am.iitd.ac.in,TWF 10:00-11:00,,,50,17,AML792
10,SUBMARINE DESIGN,X,3.0-0.0-0.0,,FATEH MANE,faiyaz38@am.iitd.ac.in,,,,60,17,AML795
11,COMPRESSIBLE FLUID FLOW AND GAS DYNAMICS,X,3.0-0.0-0.0,,AARAV BANIK,dhaliwalvritika@am.iitd.ac.in,,,,50,14,AML816
12,THEORY OF PLATES AND SHELLS,F,3.0-0.0-0.0,,DIVIJ AGRAWAL,armaanbarad@am.iitd.ernet.in,TThF 11:00-12:00,,,50,9,AML831
13,MECHANICS OF COMPOSITE MATERIALS,D,3.0-0.0-0.0,,SAANVI BORA,bhasindivyansh@am.iitd.ac.in,TWF 09:00-10:00,,,40,24,AML835
