S.No,Course Name,Slot Name,Units,Type,Instructor,Instructor Email,Lecture Time,Tutorial Time,Practical Time,Vacancy,Current Strength,Course Code
1,MAJOR PROJECT PART-II,P,0.0-0.0-24.0,,EMIR BHATIA,divit70@am.iitd.ac.in,,,,1,0,AMD812
2,MAJOR PROJECT,P,0.0-0.0-80.0,,EMIR BHATIA,divit70@am.iitd.ac.in,,,,60,1,AMD895
3,DESIGN PROJECT,X,0.0-0.0-20.0,,BIJU GOUR,eladhingra@am.iitd.ac.in,,,,40,19,AMD899
4,ENGG. MATHEMATICS & MECHANICS,F,3.0-0.0-0.0,,TAIMUR SAMI,shankarmiraya@am.iitd.ac.in,TThF 11:00-12:00,,,90,31,AML701
5,APPLIED FLUID DYNAMICS,J,3.0-1.0-0.0,,JIVIKA BERA,randhawaanay@am.iitd.ac.in,MTF 12:00-13:00,,,90,36,AML713
6,SOLID MECHANICS,C,3.0-0.0-0.0,,ISHITA GHOSE,cghosh@am.iitd.ac.in,TWF 08:00-09:00,,,60,30,AML732
7,DYNAMICS,E,3.0-0.0-0.0,,KASHVI SUNDARAM,myra66@am.iitd.ac.in,TWF 10:00-11:00,,,60,22,AML733
8,ADVANCED DYNAMICS,E,3.0-1.0-0.0,,KASHVI SUNDARAM,myra66@am.iitd.ac.in,TWF 10:00-11:00,MTThF 13:00-14:00,,150,89,AML734
9,MATERIALS FOR MARINE VEHICLES,X,3.0-0.0-0.0,,IVAN VARMA,surajayant@mse.iitd.ac.in,,,,60,22,AML751
10,DECISION THEORY & DESIGN OPTIMIZATION,H,3.0-0.0-0.0,,DIVIJ AGRAWAL,armaanbarad@am.iitd.ernet.in,M 11:00-12:00,,,50,0,AML771
11,DESIGN METHODS,D,3.0-0.0-0.0,,IVAN DALAL,wramakrishnan@am.iitd.ac.in,TWF 09:00-10:00,,,100,0,AML775
12,SHIP RESISTANCE & PROPULSION,X,3.0-0.0-0.0,,BIJU GOUR,eladhingra@am.iitd.ac.in,,,,60,25,AML791
13,WARSHIP DESIGN,X,3.0-0.0-0.0,,RASHA TALWAR,suhana55@am.iitd.ac.in,,,,60,25,AML794
14,ADVANCED FINITE ELEMENT METHODS,F,3.0-0.0-0.0,,ROHAN THAMAN,sahaehsaan@am.iitd.ernet.in,TThF 11:00-12:00,,,50,24,AML805
15,APPLICATIONS OF THEORY OF PLATES AND SHELLS,D,2.0-0.0-0.0,,TIYA BABU,gokul13@am.iitd.ac.in,TWF 09:00-10:00,,,40,26,AML832
16,ADVANCES THEORY OF ELASTICITY,X,3.0-0.0-0.0,,MOHANLAL HAYER,hkakar@am.iitd.ac.in,,,,40,11,AML841
17,MINI PROJECT,X,0.0-0.0-6.0,,TARINI CHOUDHRY,asaxena@am.iitd.ac.in,,,,40,2,APD310
18,MAJOR PROJECT PART-I,P,0.0-0.0-12.0,,EMIR BHATIA,divit70@am.iitd.ac.in,,,,600,50,APD811
19,MS Research Project,P,0.0-0.0-72.0,,PARINAAZ SUBRAMANIAM,keermyra@am.iitd.ac.in,,,,50,2,APD895
20,ENGINEERING MECHANICS,A,3.0-1.0-0.0,,TUSHAR MANI,rohan71@am.iitd.ac.in,MTh 08:00-09:30,MTThF 13:00-14:00,,500,24,APL100
21,INTR.TO MATERIAL SC. & ENGG.,E,3.0-0.0-2.0,,PRANAY DUA,nishithwalia@mse.iitd.ac.in,TWF 10:00-11:00,,,400,371,APL102
22,EXPERIMENTAL METHODS,F,3.0-0.0-0.0,,SIYA SOOD,advik48@am.iitd.ac.in,TThF 11:00-12:00,,,150,145,APL103L
23,SOLID MECHANICS,D,3.0-1.0-0.0,,STUVAN LATA,somantushar@am.iitd.ac.in,TWF 09:00-10:00,MTThF 14:00-15:00,,200,178,APL104
24,SOLID MECHANICS,X,3.0-1.0-0.0,,STUVAN LATA,somantushar@am.iitd.ac.in,,,,0,0,APL104
25,FLUID MECHANICS,F,3.0-1.0-0.0,,BHAVIN KALA,vaibhav57@am.iitd.ac.in,TThF 11:00-12:00,MTThF 13:00-14:00,,150,99,APL106
26,MECHANICS OF FLUIDS,D,3.0-1.0-0.0,,TARINI CHOUDHRY,asaxena@am.iitd.ac.in,TWF 09:00-10:00,MTThF 14:00-15:00,,150,116,APL107L
27,MECHANICS OF FLUIDS,X,3.0-1.0-0.0,,TARINI CHOUDHRY,asaxena@am.iitd.ac.in,,,,0,0,APL107L
28,MECHANICS OF SOLIDS,X,3.0-1.0-2.0,,TUSHAR RANGANATHAN,taimurbedi@am.iitd.ac.in,,,,0,0,APL108
29,MECHANICS OF SOLIDS,F,3.0-1.0-0.0,,TUSHAR RANGANATHAN,taimurbedi@am.iitd.ac.in,TThF 11:00-12:00,MTThF 13:00-14:00,,150,116,APL108L
30,CONTINUUM MECHANICS,C,3.0-0.0-0.0,,DIYA KOHLI,aaryahi28@am.iitd.ac.in,TWF 08:00-09:00,,,125,108,APL701
31,Experimental methods for Solids and Fluids,B,2.0-0.0-0.0,,AARNA THAMAN,kalashray@am.iitd.ac.in,MTh 09:30-11:00,,,80,75,APL702L
32,ENGINEERING MATHEMATIC & COMP.,A,3.0-0.0-0.0,,EMIR BHATIA,divit70@am.iitd.ac.in,MTh 08:00-09:30,,,100,93,APL703L
33,COMPUTER AIDED DESIGN,B,3.0-0.0-2.0,,SAMIHA SURESH,dashalia@cc.iitd.ernet.in,MTh 09:30-11:00,,,40,21,APL710
34,TURBULENCE AND ITS MODELING,M,3.0-0.0-0.0,,PARINAAZ SUBRAMANIAM,keermyra@am.iitd.ac.in,MTh 17:00-18:30,,,40,28,APL713
35,FRACTURE MECHANICS,AA,3.0-0.0-0.0,,SAANVI BORA,bhasindivyansh@am.iitd.ac.in,MTh 14:00-15:30,,,30,13,APL765
36,MAJOR PROJECT (MSR),P,0.0-0.0-72.0,,RASHA CHEEMA,dbahri@ee.iitd.ac.in,,,,40,4,BSD895
37,MAJOR PROJECT PART-I,P,0.0-0.0-12.0,,RASHA CHEEMA,dbahri@ee.iitd.ac.in,,,,30,22,JTD801
38,MAJOR PROJECT PART-II,P,0.0-0.0-24.0,,RASHA CHEEMA,dbahri@ee.iitd.ac.in,,,,30,0,JTD802
39,MINOR DESIGN PROJECT - I,P,0.0-0.0-2.0,,DHRUV KAR,elad@dbeb.iitd.ac.in,,,,60,8,BBD351
40,MAJOR PROJECT PART 1 (BB1),P,0.0-0.0-6.0,,VEDIKA KADE,nakultank@dbeb.iitd.ac.in,,,,80,39,BBD451
41,MAJOR PROJECT PART 1 (BB5),P,0.0-0.0-12.0,,JAYAN WARRIOR,oorja39@dbeb.iitd.ac.in,,,,60,17,BBD851
42,MAJOR PROJECT PART 2 (BB5),P,0.0-0.0-28.0,,JAYAN WARRIOR,oorja39@dbeb.iitd.ac.in,,,,60,0,BBD852
43,MAJOR PROJECT (MSR),P,0.0-0.0-72.0,,GOKUL SAVANT,rohankothari@dbeb.iitd.ac.in,,,,50,6,BBD895
44,PRINCIPLES OF BIOCHEMISTRY,D,3.0-0.0-0.0,,AARYAHI THAKER,amiradugar@dbeb.iitd.ac.in,TWF 09:00-10:00,,,80,60,BBL131L
45,GENERAL MICROBIOLOGY,F,3.0-0.0-0.0,,TARINI VENKATARAMAN,mahikagoswami@dbeb.iitd.ac.in,TThF 11:00-12:00,,,80,60,BBL132L
46,MASS & ENERGY BALANCES IN BIO.,H,3.0-0.0-0.0,,PURAB WARRIOR,fsharma@dbeb.iitd.ac.in,M 11:00-12:00,,,80,72,BBL133
47,MOLECULAR BIOLOGY & GENETICS,X,3.0-0.0-3.0,,INDRAJIT DHILLON,udua@dbeb.iitd.ac.in,,,,0,0,BBL231
48,MOLECULAR BIOLOGY & GENETICS,D,3.0-0.0-0.0,,INDRAJIT DHILLON,udua@dbeb.iitd.ac.in,TWF 09:00-10:00,,,80,56,BBL231L
49,BIOPROCESS ENGINEERING,B,3.0-0.0-0.0,,MANNAT ROY,bhamini77@dbeb.iitd.ac.in,MTh 09:30-11:00,,,90,56,BBL331
50,BIOSEPARATION ENGINEERING,C,3.0-0.0-0.0,,GOKUL SAVANT,rohankothari@dbeb.iitd.ac.in,TWF 08:00-09:00,,,100,86,BBL731L
51,BIOPROCESS PLANT DESIGN,B,3.0-0.0-2.0,,DIVIT CHADA,lavanyashenoy@dbeb.iitd.ac.in,MTh 09:30-11:00,,,80,63,BBL732
52,RECOMBINANT DNA TECHNOLOGY,X,2.0-0.0-3.0,,JAYAN WARRIOR,oorja39@dbeb.iitd.ac.in,,,,0,0,BBL733
53,RECOMBINANT DNA TECHNOLOGY,D,2.0-0.0-0.0,,JAYAN WARRIOR,oorja39@dbeb.iitd.ac.in,TWF 09:00-10:00,,,100,93,BBL733L
54,METABOLIC REGULATION AND ENGG.,H,3.0-0.0-0.0,,DHRUV KAR,elad@dbeb.iitd.ac.in,M 11:00-12:00,,,80,20,BBL734
55,GENOMICS AND PROTEOMICS,D,2.0-0.0-0.0,,VEDIKA KADE,nakultank@dbeb.iitd.ac.in,TWF 09:00-10:00,,,60,21,BBL735L
56,INST. & ANA. METH. IN BIOENGG.,E,2.0-0.0-0.0,,MANNAT MAMMEN,dhruv94@dbeb.iitd.ac.in,TWF 10:00-11:00,,,80,62,BBL737L
57,PROTEIN SCIENCE & ENGINEERING,H,3.0-0.0-0.0,,VIDUR SURI,qkari@dbeb.iitd.ac.in,M 11:00-12:00,,,70,70,BBL741
58,PROTEIN SCIENCE & ENGINEERING,X,3.0-0.0-0.0,,VIDUR SURI,qkari@dbeb.iitd.ac.in,,,,0,0,BBL741
59,OPTICS WITHIN LIFE SICENCES,F,3.0-0.0-0.0,,YUVAAN SINGH,ela11@dbeb.iitd.ac.in,TThF 11:00-12:00,,,60,39,BBL754
60,MICROBIAL BIOCHEMISRY,J,3.0-0.0-0.0,,OJAS KULKARNI,nirvi47@dbeb.iitd.ac.in,MTF 12:00-13:00,,,40,31,BBL830
61,ADVANCED BIOCHEMICALENGINEERING,B,3.0-0.0-0.0,,TARA BAJWA,elakeer@dbeb.iitd.ac.in,MTh 09:30-11:00,,,60,27,BBL850L
62,INTRODUCTION TO BIOCHEM. ENGG.,M,0.0-0.0-2.0,,MANNAT MAMMEN,dhruv94@dbeb.iitd.ac.in,,,,80,63,BBN101
