S.No,Course Name,Slot Name,Units,Type,Instructor,Instructor Email,Lecture Time,Tutorial Time,Practical Time,Vacancy,Current Strength,Course Code
1,MAJOR PROJECT,P,0.0-0.0-80.0,,EMIR BHATIA,divit70@am.iitd.ac.in,,,,60,3,AMD895
2,DESIGN PROJECT,P,0.0-0.0-20.0,,KIARA ISSAC,yakshitgola@am.iitd.ac.in,,,,60,25,AMD899
3,ENGG. MATHEMATICS & MECHANICS,F,3.0-0.0-0.0,,TAIMUR SAMI,shankarmiraya@am.iitd.ac.in,TThF 11:00-12:00,,,90,21,AML701
4,APPLIED FLUID DYNAMICS,J,3.0-1.0-0.0,,JIVIKA BERA,randhawaanay@am.iitd.ac.in,MTF 12:00-13:00,,,90,25,AML713
5,SOLID MECHANICS,X,3.0-0.0-0.0,,KASHVI SUNDARAM,myra66@am.iitd.ac.in,,,,60,19,AML732
6,DYNAMICS,H,3.0-0.0-0.0,,TUSHAR MANI,rohan71@am.iitd.ac.in,M 11:00-12:00,,,60,26,AML733
7,ADVANCED DYNAMICS,M,3.0-1.0-0.0,,TUSHAR MANI,rohan71@am.iitd.ac.in,MTh 17:00-18:30,,,150,0,AML734
8,MATERIALS FOR MARINE VEHICLES,X,3.0-0.0-0.0,,KIAAN GANESH,doraadah@mse.iitd.ac.in,,,,60,26,AML751
9,DECISION THEORY & DESIGN OPTIMIZATION,H,3.0-0.0-0.0,,DIVIJ AGRAWAL,armaanbarad@am.iitd.ernet.in,M 11:00-12:00,,,50,0,AML771
10,DESIGN METHODS,D,3.0-0.0-0.0,,ROHAN THAMAN,sahaehsaan@am.iitd.ernet.in,TWF 09:00-10:00,,,70,0,AML775
11,SHIP RESISTANCE & PROPULSION,X,3.0-0.0-0.0,,BIJU GOUR,eladhingra@am.iitd.ac.in,,,,60,19,AML791
12,STRUCTURAL DESIGN OF SHIPS.,X,3.0-0.0-0.0,,BIJU GOUR,eladhingra@am.iitd.ac.in,,,,60,20,AML792
13,WARSHIP DESIGN,X,3.0-0.0-0.0,,BIJU GOUR,eladhingra@am.iitd.ac.in,,,,60,20,AML794
14,ADVANCED FINITE ELEMENT METHODS,F,3.0-0.0-0.0,,TIYA BABU,gokul13@am.iitd.ac.in,TThF 11:00-12:00,,,50,22,AML805
15,APPLIED PLASTICITY,X,3.0-0.0-0.0,,STUVAN LATA,somantushar@am.iitd.ac.in,,,,50,6,AML833
16,ADVANCES THEORY OF ELASTICITY,X,3.0-0.0-0.0,,INDRANS BEHL,vihaansodhi@am.iitd.ac.in,,,,30,11,AML841
