S.No,Course Name,Slot Name,Units,Type,Instructor,Instructor Email,Lecture Time,Tutorial Time,Practical Time,Vacancy,Current Strength,Course Code
1,MINI PROJECT (AM),P,0.0-0.0-6.0,,SAANVI BORA,bhasindivyansh@am.iitd.ac.in,,,,30,0,AMD310
2,MAJOR PROJECT PART-I,P,0.0-0.0-12.0,,EMIR BHATIA,divit70@am.iitd.ac.in,,,,30,0,AMD811
3,MAJOR PROJECT PART-II,P,0.0-0.0-24.0,,EMIR BHATIA,divit70@am.iitd.ac.in,,,,30,26,AMD812
4,MAJOR PROJECT PART-I,P,0.0-0.0-12.0,,EMIR BHATIA,divit70@am.iitd.ac.in,,,,30,0,AMD813
5,MAJOR PROJECT PART-II,P,0.0-0.0-24.0,,EMIR BHATIA,divit70@am.iitd.ac.in,,,,30,7,AMD814
6,MAJOR PROJECT,P,0.0-0.0-80.0,,MOHANLAL HAYER,hkakar@am.iitd.ac.in,,,,30,3,AMD895
7,MINOR PROJECT,X,0.0-0.0-8.0,,BIJU GOUR,eladhingra@am.iitd.ac.in,,,,60,19,AMD897
8,APPLIED COMPUTATIONAL METHOD,F,3.0-0.0-2.0,,JIVIKA BERA,randhawaanay@am.iitd.ac.in,TThF 11:00-12:00,,,100,24,AML702
9,FINITE ELEMENT METHODS & ITS APPL.TO MARINE STRU.,B,3.0-0.0-0.0,,SAMIHA SURESH,dashalia@cc.iitd.ernet.in,MTh 09:30-11:00,,,100,31,AML706
10,APPLIED ELASTICITY,X,3.0-1.0-0.0,,STUVAN LATA,somantushar@am.iitd.ac.in,,,,60,8,AML731
11,SHIP DYNAMICS,X,3.0-0.0-0.0,,KIARA ISSAC,yakshitgola@am.iitd.ac.in,,,,60,19,AML793
12,SUBMARINE DESIGN,X,3.0-0.0-0.0,,BIJU GOUR,eladhingra@am.iitd.ac.in,,,,60,19,AML795
13,ADVANCES IN FLUID ENGINEERING,X,3.0-0.0-0.0,,SIYA SOOD,advik48@am.iitd.ac.in,,,,50,4,AML820
14,THEORY OF PLATES AND SHELLS,F,3.0-0.0-0.0,,DIVIJ AGRAWAL,armaanbarad@am.iitd.ernet.in,TThF 11:00-12:00,,,50,18,AML831
15,APPLICATIONS OF THEORY OF PLATES AND SHELLS,D,2.0-0.0-0.0,,TUSHAR RANGANATHAN,taimurbedi@am.iitd.ac.in,TWF 09:00-10:00,,,50,21,AML832
16,MECHANICS OF COMPOSITE MATERIALS,D,3.0-0.0-0.0,,TIYA BABU,gokul13@am.iitd.ac.in,TWF 09:00-10:00,,,40,15,AML835
17,PRODUCT DESIGN PROJECT 1,F,2.0-0.0-4.0,,ANAHI GHOSH,rhea45@am.iitd.ac.in,TThF 11:00-12:00,,,60,21,AMP776
18,PROJECT,X,0.0-0.0-8.0,,MOHANLAL HAYER,hkakar@am.iitd.ac.in,,,,20,4,APD311
